date,title,link
2020-03-31,Matplotlib Axes (1),https://jehyunlee.github.io/2020/03/31/Python-DS-9-matplotlib_axis/
2020-03-28,Fast.ai의 fit_one_cyclefit_one_cycle 방법론 이해,https://jehyunlee.github.io/2020/03/28/Python-DS-8-1cycle-learning-rate-policy/
2020-03-25,Pearson correlation between XX and XnXn,https://jehyunlee.github.io/2020/03/25/Python-DS-7-pearson_correlation/
2020-03-20,Plateau Detection,https://jehyunlee.github.io/2020/03/20/Python-DS-6-plateau_detection/
2020-03-13,Matplotlib Colormap (2),https://jehyunlee.github.io/2020/03/13/Python-DS-5-matplotlib_colormap2/
2020-03-01,Matplotlib Colormap (1),https://jehyunlee.github.io/2020/03/01/Python-DS-4-matplotlib_colormap/
2020-02-16,Matplotlib Colors,https://jehyunlee.github.io/2020/02/16/Python-DS-3-matplotlib_color/
2020-02-13,Matplotlib Defaults & Fonts,https://jehyunlee.github.io/2020/02/13/Python-DS-2-matplotlib_defaults_and_fonts/
2020-02-03,Pandas 1.0,https://jehyunlee.github.io/2020/02/03/Python-DS-1-pandas1/
2020-07-08,Visualizing Science; How Color Determines What we see,https://jehyunlee.github.io/2020/07/08/Python-DS-19-vs_color/
2020-07-02,Connecting Points in Paraview,https://jehyunlee.github.io/2020/07/02/Python-DS-18-pv_bond/
2020-06-30,Words Co-occurence in Academic Literatures,https://jehyunlee.github.io/2020/06/30/Python-DS-17-papermining/
2020-06-15,Citation Network on Scopus Data,https://jehyunlee.github.io/2020/06/15/Python-DS-16-VOSviewer/
2020-05-24,Bresenham's Line Algorithm,https://jehyunlee.github.io/2020/05/24/Python-DS-15-Bresenham/
2020-05-22,10 TensorFlow Tricks Every ML Practioner Must Know,https://jehyunlee.github.io/2020/05/22/Python-DS-14-10_TF_skills/
2020-05-11,Stratified Sampling,https://jehyunlee.github.io/2020/05/11/Python-DS-13-stratified_sampling/
2020-04-30,Automated Focusing,https://jehyunlee.github.io/2020/04/30/Python-DS-12-auto_focus/
2020-04-24,Data Cleansing Functions,https://jehyunlee.github.io/2020/04/24/Python-DS-11-data_cln_fn/
2020-04-21,Matplotlib-Tools,https://jehyunlee.github.io/2020/04/21/Python-DS-10-matplotlib_Tools/
